Mat,Inns,NO,Runs,HS,Avg,BF,SR,100,50,4s,6s,Team,Player Name,Image URL
14,13,6,156,41*,22.29,94,165.95,0,0,13,9,PBKS,Shahrukh Khan,https://scores.iplt20.com/ipl/playerimages/Shahrukh Khan.png
13,11,4,152,34*,21.71,88,172.72,0,0,11,9,RR,Dhruv Jurel,https://scores.iplt20.com/ipl/playerimages/Dhruv Jurel.png
4,4,0,143,70,35.75,102,140.19,0,1,10,8,LSG,Quinton De Kock,https://scores.iplt20.com/ipl/playerimages/Quinton De Kock.png
13,13,1,140,30,11.67,104,134.61,0,0,13,5,RCB,Dinesh Karthik,https://scores.iplt20.com/ipl/playerimages/Dinesh Karthik.png
7,7,2,139,57,27.80,98,141.83,0,1,10,6,PBKS,Sikandar Raza,https://scores.iplt20.com/ipl/playerimages/Sikandar Raza.png
12,10,2,135,54*,16.88,97,139.17,0,1,9,8,RCB,Mahipal Lomror,https://scores.iplt20.com/ipl/playerimages/Mahipal Lomror.png
17,9,5,130,79*,32.50,60,216.66,0,1,8,13,GT,Rashid Khan,https://scores.iplt20.com/ipl/playerimages/Rashid Khan.png
9,9,0,128,63,14.22,97,131.95,0,1,11,7,DC,Mitchell Marsh,https://scores.iplt20.com/ipl/playerimages/Mitchell Marsh.png
15,10,3,124,23,17.71,91,136.26,0,0,12,6,CSK,Moeen Ali,https://scores.iplt20.com/ipl/playerimages/Moeen Ali.png
6,6,0,117,36,19.50,92,127.17,0,0,15,4,PBKS,Matthew Short,https://scores.iplt20.com/ipl/playerimages/Matthew Short.png
9,6,0,114,42,19.00,83,137.34,0,0,6,7,GT,Abhinav Manohar,https://scores.iplt20.com/ipl/playerimages/Abhinav Manohar.png
11,10,2,113,68,14.13,70,161.42,0,1,13,4,KKR,Shardul Thakur,https://scores.iplt20.com/ipl/playerimages/Shardul Thakur.png
11,9,1,110,51,13.75,101,108.91,0,1,7,6,DC,Aman Khan,https://scores.iplt20.com/ipl/playerimages/Aman Khan.png
8,8,0,106,54,13.25,85,124.70,0,1,16,1,DC,Prithvi Shaw,https://scores.iplt20.com/ipl/playerimages/Prithvi Shaw.png
4,4,0,105,36,26.25,82,128.04,0,0,15,2,SRH,Anmolpreet Singh,https://scores.iplt20.com/ipl/playerimages/Anmolpreet Singh.png
16,12,8,104,32*,26.00,57,182.45,0,0,3,10,CSK,MS Dhoni,https://scores.iplt20.com/ipl/playerimages/MS Dhoni.png
5,5,2,93,64*,31.00,72,129.16,0,1,12,2,LSG,Prerak Mankad,https://scores.iplt20.com/ipl/playerimages/Prerak Mankad.png
9,7,4,91,29*,30.33,71,128.16,0,0,6,4,RCB,Anuj Rawat,https://scores.iplt20.com/ipl/playerimages/Anuj Rawat.png
6,6,0,89,36,14.83,81,109.87,0,0,14,1,KKR,Jagadeesan Narayan,https://scores.iplt20.com/ipl/playerimages/Jagadeesan Narayan.png
17,10,6,87,20*,21.75,57,152.63,0,0,3,7,GT,Rahul Tewatia,https://scores.iplt20.com/ipl/playerimages/Rahul Tewatia.png
12,12,1,84,17,7.64,90,93.33,0,0,3,2,LSG,Deepak Hooda,https://scores.iplt20.com/ipl/playerimages/Deepak Hooda.png
7,7,1,78,20,13.00,66,118.18,0,0,4,5,RR,Riyan Parag,https://scores.iplt20.com/ipl/playerimages/Riyan Parag.png
3,3,0,77,41,25.67,59,130.50,0,0,8,3,PBKS,Harpreet Bhatia,https://scores.iplt20.com/ipl/playerimages/Harpreet Bhatia.png
4,4,1,71,50,23.67,62,114.51,0,1,6,2,PBKS,Bhanuka Rajapaksa,https://scores.iplt20.com/ipl/playerimages/Bhanuka Rajapaksa.png
3,1,0,69,69,69.00,47,146.80,0,1,9,2,SRH,Vivrant Sharma,https://scores.iplt20.com/ipl/playerimages/Vivrant Sharma.png
13,10,4,67,30,11.17,51,131.37,0,0,5,3,RR,Ravichandran Ashwin,https://scores.iplt20.com/ipl/playerimages/Ravichandran Ashwin.png
6,6,1,66,38,13.20,59,111.86,0,0,8,0,DC,Lalit Yadav,https://scores.iplt20.com/ipl/playerimages/Lalit Yadav.png
7,7,3,61,23,15.25,37,164.86,0,0,2,5,LSG,Krishnappa Gowtham,https://scores.iplt20.com/ipl/playerimages/Krishnappa Gowtham.png
7,5,1,60,24*,15.00,60,100.00,0,0,6,0,SRH,Washington Sundar,https://scores.iplt20.com/ipl/playerimages/Washington Sundar.png
5,4,2,58,26,29.00,47,123.40,0,0,6,1,RCB,Michael Bracewell,https://scores.iplt20.com/ipl/images/default-player-statsImage.png
4,4,0,53,30,13.25,62,85.48,0,0,4,1,DC,Sarfaraz Khan,https://scores.iplt20.com/ipl/playerimages/Sarfaraz Khan.png
